index, address, balance
0, 0xdca93600514CfAa160c2A6D70A871ecddAC5E324, 87999909833421520380987593339270528
1, 0x3E07F138dFbF5875CfaB2F8113153F1433811C5B, 1000000098928658868391207172192720
2, 0x932d34e485Ba6449c87Fb0bb43cb7f16C91517DB, 1000000098928658868391207172192720
3, 0xf2c0A14d51CBFED462896801da0A1B4bBF5aaaaf, 1000000098928658868391207172192720
4, 0x4061c8A430507c9544DDE940E56165D8fb1745Dd, 1000000098928658868391207172192720
5, 0x4b294048C3feC9df23B963f621203DDef62DA622, 1000000098928658868391207172192720
6, 0x5aCd03a9fe07FD9b00bADA42aaA9eA1b5A5CD019, 250000024556926705017341405157710
7, 0xE9a594FD69eCF043d3941558944562F6259089e0, 250000024556926705017341405157710
8, 0x302650Fa8306D5d0dba2DF0edf61aF5590Af5A70, 250000024556926705017341405157710
9, 0x8D3878C7848112a8D16ACa32c8DCC54b8bb48767, 250000024556926705017341405157710
10, 0x41211736C5a302312fA1F7F211CDFF9fBA12c391, 666666732410545235690771389162797
11, 0xf7bE744659c60F0cEE1F6D8C2ec9c7bB7f582Aa7, 666666732410545235690771389162797
12, 0x857C6C75c1409F576e8635d49a2f9Ecb5585d317, 666666732410545235690771389162797
13, 0xEFb6D2755b0EA7dc8ef2Fab7635589F95d44f83c, 666666732410545235690771389162797
14, 0x109A840FcF54e6561D401E431d3FD02cb384eF91, 666666732410545235690771389162797
15, 0x8D925AB2F401D3270c6C6C629a3C8b1058ECb12E, 666666732410545235690771389162797
16, 0x1239834E2E5b63224aA7656460e9397855E59EBb, 1000000098928658868391207172192720
17, 0xB3dD86D271aEF11c1cF154312d8f95982A5A416a, 1000000098928658868391207172192720
18, 0x9651Ce34a8599c8b96d0EADa51926fe1F0E3DAF2, 131652240307927383790
19, 0x9651Ce34a8599c8b96d0EADa51926fe1F0E3DAF2, 131652240307927383790
20, 0xf809a4156b5abD7b74A94D8A99C93CcBdAdB7d07, 5498001057811719943614691
21, 0x496B528C81291ecF6EA9Be5f415Ee3a8c58e4D1a, 12019443969892890867
